cluster,subcluster,primary_keyword,keyword_type,persona,journey_stage,search_intent,ideal_content_type,sample_title,notes
Indian spirituality & philosophy,Core concepts,Indian spirituality,core,Any,Curious,Informational,Pillar page / blog,Indian Spirituality – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,Hindu spirituality for beginners,long_tail,Midlife woman,Curious,Informational,Pillar page / blog,Hindu Spirituality For Beginners – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,Sanatan Dharma meaning,question,Any,Curious,Informational,Pillar page / blog,Sanatan Dharma Meaning – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,dharma karma moksha explained,long_tail,Any,Early seeker,Informational,Pillar page / blog,Dharma Karma Moksha Explained – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,Advaita Vedanta for beginners,long_tail,Male seeker,Early seeker,Informational,Pillar page / blog,Advaita Vedanta For Beginners – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,Bhagavad Gita life lessons,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Pillar page / blog,Bhagavad Gita Life Lessons – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,what is tantra in Hinduism,question,Any,Curious,Informational,Pillar page / blog,What Is Tantra In Hinduism – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Indian spirituality & philosophy,Core concepts,difference between yoga and Hinduism,question,Any,Curious,Informational,Pillar page / blog,Difference Between Yoga And Hinduism – A Clear Guide for Western Seekers,Foundational explanation linking Indian terms to Western psychological and spiritual frameworks.
Practices & techniques,Meditation basics,meditation,core,Midlife woman,Curious,Informational,Blog + YouTube,Meditation – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,mindfulness meditation,core_long_tail,Midlife woman,Curious,Informational,Blog + YouTube,Mindfulness Meditation – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,guided meditation,core_long_tail,Midlife woman,Curious,Informational,Blog + YouTube,Guided Meditation – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,meditation for sleep,core_long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + YouTube,Meditation For Sleep – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,meditation for anxiety,core_long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + YouTube,Meditation For Anxiety – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,meditation for beginners,core_long_tail,Midlife woman,Curious,Informational,Blog + YouTube,Meditation For Beginners – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,spiritual retreats near me,core_long_tail,Midlife woman,Curious,Informational,Blog + YouTube,Spiritual Retreats Near Me – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation basics,meditation retreats,core_long_tail,Midlife woman,Curious,Informational,Blog + YouTube,Meditation Retreats – What Indian Traditions Actually Teach,"Connect common Western meditation terms with roots in Yoga, Vedanta, and Buddhist traditions."
Practices & techniques,Meditation for life problems,spirituality and anxiety,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Anxiety (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for anxiety,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Anxiety Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and depression,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Depression (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for depression,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Depression Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and burnout,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Burnout (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for burnout,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Burnout Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and midlife crisis,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Midlife Crisis (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for midlife crisis,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Midlife Crisis Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and grief,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Grief (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for grief,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Grief Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and trauma,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Trauma (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for trauma,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Trauma Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,Meditation for life problems,spirituality and loneliness,long_tail,Midlife woman,Suffering/problem‑solving,Informational,Blog + newsletter,How Indian Spirituality Understands Loneliness (And Practices That Help),"Bridge Western psychological language with Indian maps of mind (gunas, karma, samskara)."
Practices & techniques,Meditation for life problems,meditation for loneliness,long_tail,Any,Suffering/problem‑solving,Informational,Blog + YouTube,Guided Meditation for Loneliness Inspired by Indian Traditions,Offer audio/video practice plus script; map benefits to nervous‑system regulation and inner stillness.
Practices & techniques,"Yoga, kriya, tantra, kundalini",kriya yoga,core_long_tail,Male seeker,Serious practitioner,Informational,Pillar page + blog series,Kriya Yoga – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
Practices & techniques,"Yoga, kriya, tantra, kundalini",what is kriya yoga,question,Any,Curious,Informational,Pillar page + blog series,What Is Kriya Yoga – A Tradition‑Honest Guide for Western Practitioners,"Clarify safety, lineage, prerequisites, and how to discern authentic teachings from commodified versions."
