url_group,url,in_sitemap,internal_links_3_plus,indexnow_submitted_date,gsc_inspection_requested_date,index_status,first_impression_date,ga4_events_seen,owner,notes
brand_facts,https://opensadhaka.com/brand-facts,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
brand_facts_json,https://opensadhaka.com/.well-known/brand-facts.json,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
answer_hub,https://opensadhaka.com/best-spiritual-path-for-beginners,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
answer_hub,https://opensadhaka.com/choose-between-bhakti-jnana-karma-raja-yoga,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
answer_hub,https://opensadhaka.com/best-meditation-style-for-your-personality,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/starting-spiritual-practice,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/what-is-vedanta,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/advaita-vedanta-explained,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/how-to-start-japa,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/how-to-choose-a-mantra,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
editorial,https://opensadhaka.com/daily-spiritual-routine-beginners,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
concept,https://opensadhaka.com/what-is-dharma,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
concept,https://opensadhaka.com/what-is-karma,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
concept,https://opensadhaka.com/what-is-moksha,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
sanskrit,https://opensadhaka.com/learn/sanskrit/dharma,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
sanskrit,https://opensadhaka.com/learn/sanskrit/karma,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
comparison,https://opensadhaka.com/compare/japa-vs-dhyana,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
scripture,https://opensadhaka.com/bhagavad-gita-complete-guide,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
scripture,https://opensadhaka.com/texts/bhagavad-gita/chapter-1,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
track_b_stotra,https://opensadhaka.com/stotras/shiva-tandava-stotram,pending_audit,pending_audit,2026-03-12,2026-03-12,submitted_pending,,,seo_ops,"IndexNow success; GSC inspect link generated"
